Repository,mcp-prompts,mcp-prompts-catalog,mcp-prompts-contracts,mcp-prompts-core,mcp-prompts-adapters-file,mcp-prompts-adapters-mdc,mcp-prompts-adapters-postgres,mcp-prompts-adapters-memory,mcp-prompts-adapters-cli,mcp-prompts-adapters-rest,mcp-prompts-adapters-eta,apps-server
mcp-prompts,0,0,0,0,0,0,0,0,0,0,0,0
mcp-prompts-catalog,0,0,0,0,0,0,0,0,0,0,0,0
mcp-prompts-contracts,0,0,0,0,0,0,0,0,0,0,0,0
mcp-prompts-core,0,1,1,0,0,0,0,0,0,0,0,0
mcp-prompts-adapters-file,0,1,1,1,0,0,0,0,0,0,0,0
mcp-prompts-adapters-mdc,0,1,1,1,0,0,0,0,0,0,0,0
mcp-prompts-adapters-postgres,0,1,1,1,0,0,0,0,0,0,0,0
mcp-prompts-adapters-memory,0,1,1,1,0,0,0,0,0,0,0,0
mcp-prompts-adapters-cli,0,1,1,1,0,0,0,0,0,0,0,0
mcp-prompts-adapters-rest,0,1,1,1,0,0,0,0,0,0,0,0
mcp-prompts-adapters-eta,0,1,1,1,0,0,0,0,0,0,0,0
apps-server,0,1,1,1,1,1,1,1,1,1,1,0
